Factor	ASV	edge	sig	core_group	Category	Correlation
Manganese	9c1bb1543fe993d85237f84f218f7241	0.248419526	0.046908851	Rhizobiales	Soil_properties	Positive
Wind_low_Week4	2bcb56ca04ee8461e459cf0e808d1e9c	0.248419934	0.046908851	Solirubrobacterales	Climatic_conditions	Positive
Wind_low_Week4	660add4985ac2092add228f206999b69	0.248419934	0.046908851	Sphingomonadales	Climatic_conditions	Positive
Wind_high_Week4	3f0f79015d186cccf215a3d25596d8ac	0.248447321	0.046908851	Sphingomonadales	Climatic_conditions	Positive
Humidity_low_Week3	faf9b0b04ab09c87a8bee1805db97939	0.248743366	0.046161887	Burkholderiales	Climatic_conditions	Positive
Plant_cover	33b39aea14acccbab8d9eea61298d0d2	0.248801209	0.046009325	Pleosporales	Plant_diversity	Positive
Pressure_low_Week4	1d3577ceb4f98bde7340e9484ed39097	0.248811359	0.046004582	Helotiales	Climatic_conditions	Positive
Aluminium	de1d577ae061f46941c61751b72dc51b	0.249269333	0.044711565	Hypocreales	Soil_properties	Positive
Pressure_low_Week4	7018dffa9d1f2a33bff6839704dd5c35	0.249273755	0.044711565	Burkholderiales	Climatic_conditions	Positive
Pressure_low_Week1	3e1119b573f36af9a133b0cbfc9e80a7	0.249387557	0.044460048	Hypocreales	Climatic_conditions	Positive
Aluminium	b42a6a07216efd23f4c96d1999e66eaf	0.24946676	0.044300652	Pleosporales	Soil_properties	Positive
Manganese	caa87147e44034b05364d29010622d3b	0.249679416	0.043746164	Helotiales	Soil_properties	Positive
Temp_low_Week2	70250d7c445cb8e5b3d6f99427b93abd	0.249732075	0.043693084	Sphingomonadales	Climatic_conditions	Positive
Calcium	e4d0eb3a3d0beb761357ecd0e3ca7a6b	0.249818321	0.043490327	Sphingomonadales	Soil_properties	Positive
Dewpoint_low_Week3	f920c3503284689300f54fbc9d9f4abc	0.249823258	0.043490327	Rhizobiales	Climatic_conditions	Positive
Dewpoint_high_Week4	bb55592c60980bda3881288652a69306	0.249858192	0.043424307	Pleosporales	Climatic_conditions	Positive
Calcium	a6e6bcacec6f2c9a7cf2cfa9ef813d08	0.249916566	0.043278817	Sphingomonadales	Soil_properties	Positive
Manganese	cc7d5ca35bb98227715e13fcd1f6aa43	0.250240841	0.042440059	Chaetothyriales	Soil_properties	Positive
Dewpoint_low_Week4	7a08cbd8fc1391983257d4a0a5b81b40	0.25026162	0.042405411	Burkholderiales	Climatic_conditions	Positive
Precipitation_Week1	45ac4c44140f298dd6674b608644a915	0.250262741	0.042405411	Sphingomonadales	Climatic_conditions	Positive
Precipitation_Week2	45ac4c44140f298dd6674b608644a915	0.250262741	0.042405411	Sphingomonadales	Climatic_conditions	Positive
Precipitation_Week3	45ac4c44140f298dd6674b608644a915	0.250262741	0.042405411	Sphingomonadales	Climatic_conditions	Positive
Precipitation_Week4	45ac4c44140f298dd6674b608644a915	0.250262741	0.042405411	Sphingomonadales	Climatic_conditions	Positive
Dewpoint_high_Week4	1cfed5ec88a3950b146bd54d22797e37	0.250407362	0.042113276	Hypocreales	Climatic_conditions	Positive
Windgust_Week4	a2705da61e532f18a7a6ead95f49181d	0.250436733	0.042054471	Sphingomonadales	Climatic_conditions	Positive
Humidity_low_Week4	3c3ab065593bc589104045fb5d67af9d	0.250466694	0.04201894	Chaetothyriales	Climatic_conditions	Positive
Wind_low_Week4	43ce25c8fc53c321998e7bee9fc7d485	0.250589541	0.041695447	Pleosporales	Climatic_conditions	Positive
Wind_low_Week4	8820707d96f931ff04fc270ea7986f62	0.250589541	0.041695447	Solirubrobacterales	Climatic_conditions	Positive
Wind_low_Week1	1b4e4ead5ce6c1858694b24b6e282812	0.250606063	0.041695447	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week1	4fdc8bf2f7ac43f09e50beb4f82e3202	0.250606063	0.041695447	Chaetothyriales	Climatic_conditions	Positive
Wind_low_Week1	5c82136d09e587c5859a17ea571e4908	0.250606063	0.041695447	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week1	b630297fd2b72aef8d04c1bdadf3595a	0.250606063	0.041695447	Microtrichales	Climatic_conditions	Positive
Wind_low_Week1	fb3009a0cf6338748b6c50e3a68cd326	0.250606063	0.041695447	Sphingomonadales	Climatic_conditions	Positive
Manganese	6a4e06f0fa0d43ddbcf89068d4da916d	0.250831801	0.041285383	Propionibacteriales	Soil_properties	Positive
Dewpoint_high_Week4	f2186d43632a921f585b11c90a8c0070	0.250834754	0.041285383	Burkholderiales	Climatic_conditions	Positive
Temp_avg_Week2	a6e6bcacec6f2c9a7cf2cfa9ef813d08	0.250940653	0.041030601	Sphingomonadales	Climatic_conditions	Positive
Humidity_avg_Week3	5ac7662a9cff8faf69896230b80530df	0.250978199	0.040981293	Rhizobiales	Climatic_conditions	Positive
PCoA2_plant_communities	c3c35fc7714349a0f5bb063c07412b31	0.251304524	0.040318149	Sphingomonadales	Plant_diversity	Positive
Pressure_high_Week3	551cadc6f95e783da898b01d8c1078b2	0.251327823	0.040278587	Pleosporales	Climatic_conditions	Positive
Humidity_high_Week3	7757c98238a86fec762df196223423ad	0.251328955	0.040278587	Chaetothyriales	Climatic_conditions	Positive
Manganese	90fcaf7f94754ecba27915ab55811c59	0.251476991	0.039968423	Xylariales	Soil_properties	Positive
Humidity_high_Week3	638a92e4c01fbd0ced1db6e8b44e940b	0.251502168	0.039948241	Sphingomonadales	Climatic_conditions	Positive
PCoA1_plant_communities	cc7d5ca35bb98227715e13fcd1f6aa43	0.251630777	0.039672154	Chaetothyriales	Plant_diversity	Positive
Manganese	1ec7235c58d510e11f724729755d801f	0.251708507	0.039486747	Chaetothyriales	Soil_properties	Positive
Precipitation_Week1	9e6131b1048cbd963bc80f6c64727f31	0.251709396	0.039486747	Burkholderiales	Climatic_conditions	Positive
Precipitation_Week2	9e6131b1048cbd963bc80f6c64727f31	0.251709396	0.039486747	Burkholderiales	Climatic_conditions	Positive
Precipitation_Week3	9e6131b1048cbd963bc80f6c64727f31	0.251709396	0.039486747	Burkholderiales	Climatic_conditions	Positive
Precipitation_Week4	9e6131b1048cbd963bc80f6c64727f31	0.251709396	0.039486747	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week2	02d24b824543877b5999f4873e1d0ed2	0.251749556	0.039486747	Pleosporales	Climatic_conditions	Positive
Wind_low_Week2	5d995658d33115e235709895ab053710	0.251749556	0.039486747	Pleosporales	Climatic_conditions	Positive
Pressure_low_Week1	0423296d918905f3a12cf02c51d286e1	0.252029987	0.038866848	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week3	09902209592434ad52a742bb4516c609	0.252068704	0.038788041	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week3	16dc00be5c6ebbbc1e14c695e97a8327	0.252068704	0.038788041	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week3	35da1aca832ed8bd1a907d7b9d085e81	0.252068704	0.038788041	Caulobacterales	Climatic_conditions	Positive
Wind_low_Week3	499f7c396241f0a8bde5ba86cd1ab4af	0.252068704	0.038788041	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week3	5c7664893f9c241397cf7529aac0dbfc	0.252068704	0.038788041	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week3	73866c95b8a21d26cd54b4d0e9432e8f	0.252068704	0.038788041	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week3	7aba1f298a77a52d3e4f954aa245059e	0.252068704	0.038788041	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week3	7d53e39160ddbc41a06444f33101ef45	0.252068704	0.038788041	Caulobacterales	Climatic_conditions	Positive
Wind_low_Week3	7ef41e112d54db8a17cab1d606fc53e4	0.252068704	0.038788041	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week3	b493640ed9447b56c0efa77df5f0e254	0.252068704	0.038788041	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week3	b5a0753bc8ff3fd5ee913c0236749e79	0.252068704	0.038788041	Caulobacterales	Climatic_conditions	Positive
Wind_low_Week3	bc28e07ab863320a22989b89be68f7e0	0.252068704	0.038788041	Propionibacteriales	Climatic_conditions	Positive
Wind_low_Week3	f5f9b7deee5762d904e9007ade4ceac4	0.252068704	0.038788041	Pleosporales	Climatic_conditions	Positive
Wind_low_Week3	f72074455087712da38e6cf067e8a145	0.252068704	0.038788041	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week3	fe30adf211398625512526d63cc740ef	0.252068704	0.038788041	Hypocreales	Climatic_conditions	Positive
Plant_cover	2ee765de19a3ff95e3942e2e98dd530f	0.252157433	0.038788041	Hypocreales	Plant_diversity	Positive
Temp_high_Week4	db3083ee1b00373f1157d4ff8eb96c02	0.252254762	0.038747677	Sphingomonadales	Climatic_conditions	Positive
Windgust_Week2	9a1965000e9bde4521e0114c73133e53	0.25239416	0.038428251	Sphingomonadales	Climatic_conditions	Positive
Dewpoint_avg_Week4	343dbf855afaac8caca3bcc4cc2b4e2f	0.252547417	0.038122375	Burkholderiales	Climatic_conditions	Positive
Manganese	a2189c699cb90d69df931debe3c29b17	0.252563806	0.038103307	Hypocreales	Soil_properties	Positive
Wind_low_Week2	0e14b541516926a73cf9a0d757511637	0.252577386	0.038103307	Pleosporales	Climatic_conditions	Positive
Humidity_avg_Week4	b524d0a664f6a08489ffcd7bb0849df3	0.252584733	0.038103307	Pleosporales	Climatic_conditions	Positive
Pressure_low_Week4	638a92e4c01fbd0ced1db6e8b44e940b	0.252714135	0.037807598	Sphingomonadales	Climatic_conditions	Positive
Dewpoint_avg_Week1	c87f483a70292c65114899a6bbfb5fa3	0.252847598	0.037557471	Chaetothyriales	Climatic_conditions	Positive
pH	d402e600aefa6cb91381ddd70647a4e2	0.253159684	0.036855698	Sphingomonadales	Soil_properties	Positive
Wind_low_Week1	4a1b9065b5a4965f436679614b13cd7d	0.253278513	0.036625528	Sphingomonadales	Climatic_conditions	Positive
Dewpoint_high_Week3	70250d7c445cb8e5b3d6f99427b93abd	0.253287413	0.036625528	Sphingomonadales	Climatic_conditions	Positive
Humidity_low_Week3	bb55592c60980bda3881288652a69306	0.253332133	0.036559783	Pleosporales	Climatic_conditions	Positive
PCoA1_plant_communities	32e32f722442c7ef5b52d387d74efe3c	0.253417332	0.036392527	Pleosporales	Plant_diversity	Positive
Dewpoint_avg_Week2	16908489817e1cfdd163f13938103c93	0.253513588	0.036198563	Burkholderiales	Climatic_conditions	Positive
Dewpoint_high_Week2	2688dc5d4637c83ea1581928758cd52a	0.253590984	0.036029559	Burkholderiales	Climatic_conditions	Positive
Iron	b476e0463e33c72532fee1fb7748c2ae	0.253679527	0.035856419	Sphingomonadales	Soil_properties	Positive
Humidity_avg_Week2	fefb83ceac2c68043e28b8f29664b011	0.253706015	0.035813831	Pleosporales	Climatic_conditions	Positive
Windgust_Week4	7057a4fc9928971c8e6bf88dc46fb40c	0.253720374	0.035810749	Hypocreales	Climatic_conditions	Positive
Precipitation_Week1	902625080432cb4eae4a81f1c081fda6	0.253846747	0.035581499	Pleosporales	Climatic_conditions	Positive
Precipitation_Week2	902625080432cb4eae4a81f1c081fda6	0.253846747	0.035581499	Pleosporales	Climatic_conditions	Positive
Precipitation_Week3	902625080432cb4eae4a81f1c081fda6	0.253846747	0.035581499	Pleosporales	Climatic_conditions	Positive
Precipitation_Week4	902625080432cb4eae4a81f1c081fda6	0.253846747	0.035581499	Pleosporales	Climatic_conditions	Positive
Humidity_avg_Week4	56b17ee22867f28d69ceed6536bce3f4	0.253858163	0.035581499	Hypocreales	Climatic_conditions	Positive
Wind_high_Week1	3349f0b50c0cc58aa86de7ced77a9acf	0.254010185	0.035324539	Xylariales	Climatic_conditions	Positive
Wind_low_Week3	39e6726baf90a4db0b5f4545172732e8	0.254291295	0.034730156	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week3	403f4f4f8f73cd8ca557cc8ba60b91e9	0.254291295	0.034730156	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week3	4128e3a25becad3b42fea5367634a6c5	0.254291295	0.034730156	Hypocreales	Climatic_conditions	Positive
Wind_low_Week3	63a4d1c5fed1fe6cb514a31151a1eb8b	0.254291295	0.034730156	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week3	6b29aa2cb55d114aa17a10dfdf2651e9	0.254291295	0.034730156	Chaetothyriales	Climatic_conditions	Positive
Wind_low_Week3	775c82955ec49201c3448e3191f38338	0.254291295	0.034730156	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week3	86dc475e6afbdf28fc0a87913a2f898d	0.254291295	0.034730156	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week3	8cb83413a581e5978dec6b40c7f7cd29	0.254291295	0.034730156	Microtrichales	Climatic_conditions	Positive
Wind_low_Week3	bfa07c7064bba448387282073051db4a	0.254291295	0.034730156	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week3	e7548604ab2bb937b1430224d26ec154	0.254291295	0.034730156	Solirubrobacterales	Climatic_conditions	Positive
Temp_low_Week1	a1e89aca1f007bf05c2b8ecd12a50794	0.254348531	0.034730156	Rhizobiales	Climatic_conditions	Positive
Manganese	eb621b133fcc0b0829e68efdcc9538f7	0.254358441	0.034730156	Solirubrobacterales	Soil_properties	Positive
Dewpoint_high_Week4	519a7678251b24065079cb16c6f615e9	0.254397207	0.034730156	Burkholderiales	Climatic_conditions	Positive
Temp_avg_Week2	49422239b679ef53fe23d37834d344a3	0.25446476	0.034648272	Burkholderiales	Climatic_conditions	Positive
Aluminium	1adf69f6bdc64fd2f47e50157303b77b	0.254546582	0.034475757	Rhizobiales	Soil_properties	Positive
PCoA1_plant_communities	3651972045124590a0b441270cf5082d	0.254628954	0.034302754	Chaetothyriales	Plant_diversity	Positive
Wind_high_Week1	764657cb35fb7244a443c159eccb13d2	0.25477698	0.034020224	Sphingomonadales	Climatic_conditions	Positive
Calcium	f6d338ec7e8b5bb748381013b8053f22	0.254916297	0.033738456	Chaetothyriales	Soil_properties	Positive
Manganese	c0d80519b1e34920abdaa60fcbec924e	0.254997581	0.033571467	Rhizobiales	Soil_properties	Positive
Windgust_Week2	105c706c6b955935e889454ad8587668	0.255002466	0.033571467	Caulobacterales	Climatic_conditions	Positive
Humidity_high_Week1	5ac7662a9cff8faf69896230b80530df	0.255102513	0.033393874	Rhizobiales	Climatic_conditions	Positive
Humidity_high_Week2	56b17ee22867f28d69ceed6536bce3f4	0.255597238	0.032334523	Hypocreales	Climatic_conditions	Positive
Wind_low_Week4	023936a55bb3a2833fb90472633e91ae	0.2557237	0.032177876	Burkholderiales	Climatic_conditions	Positive
Shannon_diversity_plant_communities	0fc1e59f7c2141a4c8efdf2c843b60cc	0.256450545	0.030797543	Pleosporales	Plant_diversity	Positive
Pressure_low_Week3	551cadc6f95e783da898b01d8c1078b2	0.256516091	0.030677827	Pleosporales	Climatic_conditions	Positive
Dewpoint_avg_Week4	638a92e4c01fbd0ced1db6e8b44e940b	0.256568853	0.030605729	Sphingomonadales	Climatic_conditions	Positive
Humidity_avg_Week3	3ce04642f596099e844e50e717b39621	0.256630089	0.030495857	Propionibacteriales	Climatic_conditions	Positive
Dewpoint_low_Week1	1cfed5ec88a3950b146bd54d22797e37	0.256777537	0.030264487	Hypocreales	Climatic_conditions	Positive
Dewpoint_high_Week2	4d97b50e59816436d2b097d387d17d01	0.256853258	0.030125452	Pleosporales	Climatic_conditions	Positive
Shannon_diversity_plant_communities	9e2f0174da789c1b561ab9e55f67f309	0.256891475	0.03006531	Helotiales	Plant_diversity	Positive
Calcium	80b5811d1e3410edb41428053b059dee	0.256932923	0.030018322	Burkholderiales	Soil_properties	Positive
Shannon_diversity_plant_communities	320ce1b35a99c411ae7597a454bb98f9	0.257049709	0.029795146	Chaetothyriales	Plant_diversity	Positive
Wind_low_Week3	12002217b24df75da9bbb9235b09876c	0.257052589	0.029795146	Sphingomonadales	Climatic_conditions	Positive
Windgust_Week4	ede4de0b752964a0d75e1e9c95d2d646	0.257058192	0.029795146	Burkholderiales	Climatic_conditions	Positive
Dewpoint_high_Week1	49d941aeef9eeb0a04b58915b90a223c	0.257110191	0.02972887	Burkholderiales	Climatic_conditions	Positive
Phosphore	e4b9a9f140917770a16ef8c7eb8fe858	0.257293247	0.029371896	Pleosporales	Soil_properties	Positive
Wind_high_Week4	5e363ccec9f16437d7e884b12d48f7b5	0.257339374	0.029297076	Microtrichales	Climatic_conditions	Positive
Plant_cover	3f55c6bdf06b041ae59ff960c14ae0a1	0.25734852	0.029297076	Propionibacteriales	Plant_diversity	Positive
Dewpoint_high_Week4	a96078b17eb82a36a9f89d8b4c0441b4	0.257447649	0.029154119	Pleosporales	Climatic_conditions	Positive
Wind_low_Week3	736925469e4e50c9ee613724efcd1270	0.25755203	0.029000551	Rhizobiales	Climatic_conditions	Positive
Precipitation_Week1	687d21e3c157c639ce64426cef257f25	0.257628812	0.028870667	Rhizobiales	Climatic_conditions	Positive
Precipitation_Week2	687d21e3c157c639ce64426cef257f25	0.257628812	0.028870667	Rhizobiales	Climatic_conditions	Positive
Precipitation_Week3	687d21e3c157c639ce64426cef257f25	0.257628812	0.028870667	Rhizobiales	Climatic_conditions	Positive
Precipitation_Week4	687d21e3c157c639ce64426cef257f25	0.257628812	0.028870667	Rhizobiales	Climatic_conditions	Positive
Precipitation_Week1	4936410b37f8e5646ece71d1bc9dee5a	0.257793776	0.028687404	Sphingomonadales	Climatic_conditions	Positive
Precipitation_Week2	4936410b37f8e5646ece71d1bc9dee5a	0.257793776	0.028687404	Sphingomonadales	Climatic_conditions	Positive
Precipitation_Week3	4936410b37f8e5646ece71d1bc9dee5a	0.257793776	0.028687404	Sphingomonadales	Climatic_conditions	Positive
Precipitation_Week4	4936410b37f8e5646ece71d1bc9dee5a	0.257793776	0.028687404	Sphingomonadales	Climatic_conditions	Positive
Dewpoint_avg_Week1	7a08cbd8fc1391983257d4a0a5b81b40	0.258012853	0.028346856	Burkholderiales	Climatic_conditions	Positive
Wind_high_Week2	5e363ccec9f16437d7e884b12d48f7b5	0.258111285	0.028190473	Microtrichales	Climatic_conditions	Positive
Windgust_Week2	687d21e3c157c639ce64426cef257f25	0.258282734	0.027898973	Rhizobiales	Climatic_conditions	Positive
Temp_high_Week3	033a2b71c44a58fe335addc7d654d389	0.258310155	0.027876304	Hypocreales	Climatic_conditions	Positive
Temp_low_Week3	568695d6f90de3e5829e9c54c836cd4d	0.258323199	0.027876304	Sphingomonadales	Climatic_conditions	Positive
PCoA1_plant_communities	0d5cc8b66d27bdb602982f83bce61855	0.258369968	0.027834982	Sphingomonadales	Plant_diversity	Positive
Humidity_low_Week4	d826f4bfe9335a23dba953fc6a34b264	0.25837921	0.027834982	Helotiales	Climatic_conditions	Positive
Temp_high_Week1	f8397d1f8459a0433a01018723975390	0.258391329	0.027831039	Burkholderiales	Climatic_conditions	Positive
Manganese	a7fb995ee07ea14552ffb5ef96d64264	0.258447905	0.027739888	Chaetothyriales	Soil_properties	Positive
Soil_organic_matter	7d6d4fdd648bb5b6221290a2c5c9fe42	0.258573166	0.027535094	Chaetothyriales	Soil_properties	Positive
Organic_carbon	7d6d4fdd648bb5b6221290a2c5c9fe42	0.258847249	0.027085071	Chaetothyriales	Soil_properties	Positive
pH	3be9a0528c123247e321235122fbd7d6	0.258918043	0.026987723	Sphingomonadales	Soil_properties	Positive
Wind_low_Week1	6cee0311969d525a7bbaed7e942f6388	0.259232791	0.026470589	Rhizobiales	Climatic_conditions	Positive
Temp_high_Week3	7c7245a1579bbbee7a275c91ba5d78e4	0.259409148	0.026183909	Pleosporales	Climatic_conditions	Positive
Wind_high_Week4	715a5d3872fd3c05667063cb35a8ab88	0.259519582	0.026028485	Chaetothyriales	Climatic_conditions	Positive
Wind_low_Week2	0ead9e84e7aacc79a386c18f74303954	0.25960944	0.025885564	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week2	12a84e566320f4bd7aab755c1bb3e751	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	12be27733440bd8286ed0d24fc9f2599	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	19eed53653d5d2b60bccd54582dcf5e2	0.25960944	0.025885564	Hypocreales	Climatic_conditions	Positive
Wind_low_Week2	1a07e8576772498070dabf4b1e579989	0.25960944	0.025885564	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week2	1e5d3e678a012fef61a4382c778cd899	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	1e6b94b58c95ce72c8790b262b7dbfbb	0.25960944	0.025885564	Solirubrobacterales	Climatic_conditions	Positive
Wind_low_Week2	1f8b4717603cb352c86ac7f45bcb98cd	0.25960944	0.025885564	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week2	238cbafbf63f90a0f72d1907758572e3	0.25960944	0.025885564	Propionibacteriales	Climatic_conditions	Positive
Wind_low_Week2	2d9d7a935271773a96d7debf8a7324c4	0.25960944	0.025885564	Microtrichales	Climatic_conditions	Positive
Wind_low_Week2	2f02a3888bb0547c4f957e5817cec0b5	0.25960944	0.025885564	Caulobacterales	Climatic_conditions	Positive
Wind_low_Week2	36c8682b2de79074e00f63600c983528	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	3934a2a7e5a425d31c6e6b15661917d3	0.25960944	0.025885564	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week2	3b70c4102dc1d0de835f4cb1aaa5e971	0.25960944	0.025885564	Xylariales	Climatic_conditions	Positive
Wind_low_Week2	3c7e23bbeaf9501ff0bf988b9b0fe0b1	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	40edc50cb78e74156ce37624cd2fd610	0.25960944	0.025885564	Microtrichales	Climatic_conditions	Positive
Wind_low_Week2	428002d0de62a29f0bb50bbec5b0cf64	0.25960944	0.025885564	Hypocreales	Climatic_conditions	Positive
Wind_low_Week2	43c2bbb50ee6d6606bfbc6056e55f5f2	0.25960944	0.025885564	Solirubrobacterales	Climatic_conditions	Positive
Wind_low_Week2	466c4942d041caac8e985b5a17a25b7d	0.25960944	0.025885564	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week2	4cd7f8b371f8175d3d9cac3583136495	0.25960944	0.025885564	Caulobacterales	Climatic_conditions	Positive
Wind_low_Week2	50c54286a5dae2a4a0ed0c3c5fa794dd	0.25960944	0.025885564	Solirubrobacterales	Climatic_conditions	Positive
Wind_low_Week2	516fefeb2e2f2a596301f1d99ebca543	0.25960944	0.025885564	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week2	533b9bc1a09b6c01643e1e9bb9b0990b	0.25960944	0.025885564	Solirubrobacterales	Climatic_conditions	Positive
Wind_low_Week2	5433d21e671954e97a2f69e281e29872	0.25960944	0.025885564	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week2	5486b863aae55b420b2aae7838ba2cde	0.25960944	0.025885564	Microtrichales	Climatic_conditions	Positive
Wind_low_Week2	5ce0b636320f327dab518dc2ad146337	0.25960944	0.025885564	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week2	5feafa20ce180a7e7c2d03bae8830490	0.25960944	0.025885564	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week2	6c4855f94b75f6af76305610a4949e09	0.25960944	0.025885564	Helotiales	Climatic_conditions	Positive
Wind_low_Week2	6dfeb3c2dfe5c8b072f56b5f6de13055	0.25960944	0.025885564	Solirubrobacterales	Climatic_conditions	Positive
Wind_low_Week2	777daaa2fec3ecd28b58140bd8129626	0.25960944	0.025885564	Solirubrobacterales	Climatic_conditions	Positive
Wind_low_Week2	798981cc56dfb2a406cca79c3407f446	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	7d41fe18c36bd6d864be2cdf6e2fe2f8	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	7e36ddb72160f2b0cb9df85d9750bfe6	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	84504036e02134af5ba74953403abbd7	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	85735b7902a44e11d625d732ffa5a861	0.25960944	0.025885564	Solirubrobacterales	Climatic_conditions	Positive
Wind_low_Week2	863375a03ad85388a537073efca89df0	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	8be4da2e183358fbaac546ed7e35e3ad	0.25960944	0.025885564	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week2	8bfd6b70ffda862c590d0d369048609c	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	90ce680e6c4e2d5c87b8cf767b8c03c7	0.25960944	0.025885564	Propionibacteriales	Climatic_conditions	Positive
Wind_low_Week2	9270c14bf39204f3e8e6a500aa91f723	0.25960944	0.025885564	Hypocreales	Climatic_conditions	Positive
Wind_low_Week2	983fd3487b3ef9227d9bf384611ddaf2	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	9bb3c414c4c44dd9cc20fa53895da2a7	0.25960944	0.025885564	Solirubrobacterales	Climatic_conditions	Positive
Wind_low_Week2	9f74ef2e2085b812d44d1487652ef9f0	0.25960944	0.025885564	Microtrichales	Climatic_conditions	Positive
Wind_low_Week2	9f8b574cd8f361ab3584a96ec148aaea	0.25960944	0.025885564	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week2	9fb3fee7d45d1f39f0de902da6e04fef	0.25960944	0.025885564	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week2	a02ec73c0fd9067f4ca7be3d5b46adf3	0.25960944	0.025885564	Microtrichales	Climatic_conditions	Positive
Wind_low_Week2	a1c4d5446c50357986f679a81aa570d3	0.25960944	0.025885564	Propionibacteriales	Climatic_conditions	Positive
Wind_low_Week2	a43dd698547a510542453ed3d090de0f	0.25960944	0.025885564	Solirubrobacterales	Climatic_conditions	Positive
Wind_low_Week2	a452a9929ba8c9ece3b569a9460a5e71	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	aa10c76bd0bcc57fef0e5e6195539ea3	0.25960944	0.025885564	Pleosporales	Climatic_conditions	Positive
Wind_low_Week2	aac4dce6f04caffce00f9226a30194be	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	ac2f2d8d2e96eb788d4eb5d15c5a0e8f	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	b1c256d45080a63945e9ed1c12b6a57c	0.25960944	0.025885564	Chaetothyriales	Climatic_conditions	Positive
Wind_low_Week2	b3389d670ae276bdfadb54b9af5107e4	0.25960944	0.025885564	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week2	bc64dbd4f7b00404e192b3a6b8cdf222	0.25960944	0.025885564	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week2	be46a1d60f955e6e15d0d6fdf5ec9988	0.25960944	0.025885564	Sphingomonadales	Climatic_conditions	Positive
Wind_low_Week2	c2f92c2333a1eceab7875be46e789a09	0.25960944	0.025885564	Burkholderiales	Climatic_conditions	Positive
Wind_low_Week2	c4b808b0a69359da1f651894534dfa64	0.25960944	0.025885564	Propionibacteriales	Climatic_conditions	Positive
Wind_low_Week2	c7aea635aef38409da83214865676a26	0.25960944	0.025885564	Propionibacteriales	Climatic_conditions	Positive
Wind_low_Week2	c8909ed7891466524219183359f464e2	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	cb7dcec9b9cc4b2daae283a4814be957	0.25960944	0.025885564	Rhizobiales	Climatic_conditions	Positive
Wind_low_Week2	d1dba12c6bac8401dc490b655b0eabea	0.25960944	0.025885564	Solirubrobacterales	Climatic_conditions	Positive
